CSV,X_mm,Y_mm,Z_mm,Vpp_mV,Pressure_pp_kPa,RawFile
0,8,11,13,41.0,62.7,raw_csv/CSV00_X08_Y11_Z13.csv
1,7,11,13,20.0,30.6,raw_csv/CSV01_X07_Y11_Z13.csv
2,6,11,13,33.0,50.5,raw_csv/CSV02_X06_Y11_Z13.csv
3,10,9,13,62.5,95.6,raw_csv/CSV03_X10_Y09_Z13.csv
4,11,9,13,56.5,86.4,raw_csv/CSV04_X11_Y09_Z13.csv
5,12,9,13,39.0,59.6,raw_csv/CSV05_X12_Y09_Z13.csv
6,13,9,13,65.5,100.2,raw_csv/CSV06_X13_Y09_Z13.csv
7,14,9,13,59.5,91.0,raw_csv/CSV07_X14_Y09_Z13.csv
8,9,9,13,70.5,107.8,raw_csv/CSV08_X09_Y09_Z13.csv
9,8,9,13,43.5,66.5,raw_csv/CSV09_X08_Y09_Z13.csv
10,7,9,13,31.5,48.2,raw_csv/CSV10_X07_Y09_Z13.csv
11,6,9,13,43.5,66.5,raw_csv/CSV11_X06_Y09_Z13.csv
12,5,9,13,30.5,46.6,raw_csv/CSV12_X05_Y09_Z13.csv
13,10,8,13,40.5,61.9,raw_csv/CSV13_X10_Y08_Z13.csv
14,10,7,13,27.5,42.0,raw_csv/CSV14_X10_Y07_Z13.csv
15,10,10,13,67.5,103.2,raw_csv/CSV15_X10_Y10_Z13.csv
16,10,11,13,33.0,50.5,raw_csv/CSV16_X10_Y11_Z13.csv
17,9,11,13,42.5,65.0,raw_csv/CSV17_X09_Y11_Z13.csv
18,9,10,13,70.5,107.8,raw_csv/CSV18_X09_Y10_Z13.csv
19,9,8,13,54.0,82.6,raw_csv/CSV19_X09_Y08_Z13.csv
20,11,8,13,31.5,48.2,raw_csv/CSV20_X11_Y08_Z13.csv
21,11,7,13,34.0,52.0,raw_csv/CSV21_X11_Y07_Z13.csv
22,11,10,13,39.0,59.6,raw_csv/CSV22_X11_Y10_Z13.csv
23,11,11,13,28.0,42.8,raw_csv/CSV23_X11_Y11_Z13.csv
