CSV,X_mm,Y_mm,Z_mm,Vpp_mV,Pressure_pp_kPa,RawFile
0,10,11,6,275.0,74.3,raw_csv/CSV00_X10_Y11_Z06.csv
1,11,11,6,325.0,87.8,raw_csv/CSV01_X11_Y11_Z06.csv
2,12,11,6,400.0,108.1,raw_csv/CSV02_X12_Y11_Z06.csv
3,13,11,6,350.0,94.6,raw_csv/CSV03_X13_Y11_Z06.csv
4,14,11,6,300.0,81.1,raw_csv/CSV04_X14_Y11_Z06.csv
5,10,11,6,300.0,81.1,raw_csv/CSV05_X10_Y11_Z06.csv
6,9,11,6,275.0,74.3,raw_csv/CSV06_X09_Y11_Z06.csv
7,8,11,6,225.0,60.8,raw_csv/CSV07_X08_Y11_Z06.csv
8,7,11,6,200.0,54.1,raw_csv/CSV08_X07_Y11_Z06.csv
9,10,10,6,275.0,74.3,raw_csv/CSV09_X10_Y10_Z06.csv
10,10,9,6,275.0,74.3,raw_csv/CSV10_X10_Y09_Z06.csv
11,10,11,8,350.0,94.6,raw_csv/CSV11_X10_Y11_Z08.csv
12,11,11,8,400.0,108.1,raw_csv/CSV12_X11_Y11_Z08.csv
13,12,11,8,450.0,121.6,raw_csv/CSV13_X12_Y11_Z08.csv
14,10,11,9,400.0,108.1,raw_csv/CSV14_X10_Y11_Z09.csv
