CSV,x_mm,y_mm,z_mm,X_centered_mm,Y_centered_mm,Vpp_mV,Pressure_pp_bar,Pressure_peak_kPa
TEK00000,10,11,6,0,3.5,275,0.743,37.2
TEK00001,11,11,6,1,3.5,325,0.878,43.9
TEK00002,12,11,6,2,3.5,400,1.081,54.1
TEK00003,13,11,6,3,3.5,350,0.946,47.3
TEK00004,14,11,6,4,3.5,300,0.811,40.5
TEK00005,10,11,6,0,3.5,300,0.811,40.5
TEK00006,9,11,6,-1,3.5,275,0.743,37.2
TEK00007,8,11,6,-2,3.5,225,0.608,30.4
TEK00008,7,11,6,-3,3.5,200,0.541,27.0
TEK00009,10,10,6,0,2.5,275,0.743,37.2
TEK00010,10,9,6,0,1.5,275,0.743,37.2
TEK00011,10,11,8,0,3.5,350,0.946,47.3
TEK00012,11,11,8,1,3.5,400,1.081,54.1
TEK00013,12,11,8,2,3.5,450,1.216,60.8
TEK00014,10,11,9,0,3.5,400,1.081,54.1
