Model,TBS2072
Firmware Version,v1.26.0

Point Format,Y
Horizontal Units,S
Horizontal Scale,1e-06
Sample Interval,8e-09
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.005
Label,
TIME,CH1
-5.3440e-06,0.00125
-5.3360e-06,0.00075
-5.3280e-06,0.00025
-5.3200e-06,0.00025
-5.3120e-06,-0.0005
-5.3040e-06,0.00025
-5.2960e-06,-0.00025
-5.2880e-06,-7.45058e-12
-5.2800e-06,-7.45058e-12
-5.2720e-06,-0.0005
-5.2640e-06,-7.45058e-12
-5.2560e-06,-7.45058e-12
-5.2480e-06,-0.00075
-5.2400e-06,-0.00025
-5.2320e-06,-0.00125
-5.2240e-06,-7.45058e-12
-5.2160e-06,0.0005
-5.2080e-06,-0.00025
-5.2000e-06,0.00025
-5.1920e-06,-0.00075
-5.1840e-06,-0.00025
-5.1760e-06,0.00075
-5.1680e-06,0.00025
-5.1600e-06,-7.45058e-12
-5.1520e-06,-0.0005
-5.1440e-06,-0.0005
-5.1360e-06,-0.00025
-5.1280e-06,0.00025
-5.1200e-06,-7.45058e-12
-5.1120e-06,-0.0005
-5.1040e-06,-0.00025
-5.0960e-06,-7.45058e-12
-5.0880e-06,-0.00025
-5.0800e-06,0.00025
-5.0720e-06,0.001
-5.0640e-06,0.0005
-5.0560e-06,0.00025
-5.0480e-06,0.001
-5.0400e-06,-0.00025
-5.0320e-06,0.00025
-5.0240e-06,-0.00075
-5.0160e-06,-0.00025
-5.0080e-06,-0.0005
-5.0000e-06,0.0005
-4.9920e-06,-0.00025
-4.9840e-06,-0.00025
-4.9760e-06,-0.00125
-4.9680e-06,-0.00125
-4.9600e-06,-7.45058e-12
-4.9520e-06,0.001
-4.9440e-06,-7.45058e-12
-4.9360e-06,-0.0015
-4.9280e-06,0.0005
-4.9200e-06,0.00125
-4.9120e-06,0.001
-4.9040e-06,-7.45058e-12
-4.8960e-06,-7.45058e-12
-4.8880e-06,-0.00025
-4.8800e-06,-7.45058e-12
-4.8720e-06,0.00075
-4.8640e-06,-0.0005
-4.8560e-06,-0.0005
-4.8480e-06,-0.0015
-4.8400e-06,-0.0005
-4.8320e-06,0.00025
-4.8240e-06,-0.001
-4.8160e-06,-0.0005
-4.8080e-06,-0.00125
-4.8000e-06,-7.45058e-12
-4.7920e-06,-0.00025
-4.7840e-06,0.00075
-4.7760e-06,0.0005
-4.7680e-06,-0.0005
-4.7600e-06,0.00025
-4.7520e-06,0.0005
-4.7440e-06,0.001
-4.7360e-06,-7.45058e-12
-4.7280e-06,0.00025
-4.7200e-06,-0.00025
-4.7120e-06,-0.00025
-4.7040e-06,0.00075
-4.6960e-06,0.00025
-4.6880e-06,-0.0005
-4.6800e-06,-0.00025
-4.6720e-06,-0.0005
-4.6640e-06,-7.45058e-12
-4.6560e-06,-0.0005
-4.6480e-06,0.00025
-4.6400e-06,-0.0005
-4.6320e-06,0.00025
-4.6240e-06,-7.45058e-12
-4.6160e-06,0.0005
-4.6080e-06,0.00025
-4.6000e-06,0.00025
-4.5920e-06,-7.45058e-12
-4.5840e-06,0.00025
-4.5760e-06,0.0005
-4.5680e-06,0.0005
-4.5600e-06,-7.45058e-12
-4.5520e-06,-7.45058e-12
-4.5440e-06,0.0005
-4.5360e-06,0.0005
-4.5280e-06,-7.45058e-12
-4.5200e-06,-7.45058e-12
-4.5120e-06,0.00025
-4.5040e-06,-7.45058e-12
-4.4960e-06,0.00075
-4.4880e-06,-0.00025
-4.4800e-06,-7.45058e-12
-4.4720e-06,-0.00075
-4.4640e-06,-7.45058e-12
-4.4560e-06,-0.00025
-4.4480e-06,-0.00025
-4.4400e-06,0.0005
-4.4320e-06,-7.45058e-12
-4.4240e-06,-0.00025
-4.4160e-06,0.00025
-4.4080e-06,0.00075
-4.4000e-06,-0.00025
-4.3920e-06,-0.00125
-4.3840e-06,-0.001
-4.3760e-06,-0.00075
-4.3680e-06,0.0005
-4.3600e-06,0.00025
-4.3520e-06,-0.00025
-4.3440e-06,-0.00075
-4.3360e-06,0.00025
-4.3280e-06,0.00125
-4.3200e-06,0.001
-4.3120e-06,0.00025
-4.3040e-06,-0.001
-4.2960e-06,-0.0005
-4.2880e-06,0.00025
-4.2800e-06,-7.45058e-12
-4.2720e-06,-0.0005
-4.2640e-06,-0.0015
-4.2560e-06,-7.45058e-12
-4.2480e-06,-0.00025
-4.2400e-06,0.0005
-4.2320e-06,-0.0005
-4.2240e-06,-0.0005
-4.2160e-06,-0.00125
-4.2080e-06,-0.00025
-4.2000e-06,0.0005
-4.1920e-06,0.00075
-4.1840e-06,-0.00025
-4.1760e-06,0.00025
-4.1680e-06,-7.45058e-12
-4.1600e-06,0.00125
-4.1520e-06,0.00075
-4.1440e-06,-0.00075
-4.1360e-06,0.00025
-4.1280e-06,0.00025
-4.1200e-06,0.00125
-4.1120e-06,-7.45058e-12
-4.1040e-06,-7.45058e-12
-4.0960e-06,-0.00025
