 ,Area,Mean,Min,Max
1,17.114,135.932,111,164
2,80.904,59.596,0,180
3,112.021,61.622,0,249
4,122.911,51.215,0,246
5,163.363,52.774,0,231
6,199.926,57.714,0,228
7,199.926,50.986,0,213
8,230.265,46.840,0,236
9,4.668,140.167,130,151
10,56.788,94.815,0,240
11,63.790,67.128,0,208
12,84.015,68.912,0,223
13,112.021,67.618,0,220
14,178.922,79.530,0,245
15,175.421,78.960,0,231
16,197.592,73.717,0,225
17,223.263,63.974,0,225
18,217.040,76.047,0,239
19,60.678,112.250,15,201
20,60.678,89.199,0,208
21,96.462,69.149,0,212
22,126.801,54.712,0,215
23,124.467,54.194,0,213
24,155.195,44.554,0,218
25,190.202,70.857,0,231
26,206.538,45.808,0,223
27,208.483,49.067,0,205
28,43.564,59.589,0,169
29,75.847,69.349,0,204
30,127.579,61.991,0,204
31,165.697,78.209,0,212
32,171.921,65.760,0,223
33,174.643,50.443,0,223
34,212.761,39.951,0,213
35,0.000,NaN,255,0
36,54.066,96.842,2,210
37,54.066,32.554,0,167
38,70.791,59.187,0,190
39,171.532,77.948,0,221
40,204.593,54.755,0,224
41,233.765,65.581,0,224
42,37.340,61.896,0,148
43,43.564,49.446,0,163
44,99.574,84.070,0,223
45,106.575,70.701,0,226
46,113.965,64.898,0,206
47,113.965,48.775,0,183
48,135.747,53.355,0,196
49,175.810,59.854,0,232
50,216.651,60.729,0,221
51,238.546,54.700,0,239
