CSV,X_mm,Y_mm,Z_mm,Vpp_mV,Pressure_pp_kPa,RawFile
15,10,12,6,33.75,51.5,raw_csv/CSV15_X10_Y12_Z06.csv
16,11,12,6,50.00,76.3,raw_csv/CSV16_X11_Y12_Z06.csv
17,12,12,6,51.50,78.6,raw_csv/CSV17_X12_Y12_Z06.csv
18,13,12,6,51.75,78.9,raw_csv/CSV18_X13_Y12_Z06.csv
19,14,12,6,31.75,48.4,raw_csv/CSV19_X14_Y12_Z06.csv
20,15,12,6,32.75,50.0,raw_csv/CSV20_X15_Y12_Z06.csv
21,9,12,6,44.25,67.5,raw_csv/CSV21_X09_Y12_Z06.csv
22,8,12,6,32.00,48.8,raw_csv/CSV22_X08_Y12_Z06.csv
23,7,12,6,27.50,41.9,raw_csv/CSV23_X07_Y12_Z06.csv
24,10,11,6,44.00,67.1,raw_csv/CSV24_X10_Y11_Z06.csv
25,10,10,6,35.50,54.1,raw_csv/CSV25_X10_Y10_Z06.csv
26,10,9,6,42.00,64.1,raw_csv/CSV26_X10_Y09_Z06.csv
27,10,13,6,26.50,40.4,raw_csv/CSV27_X10_Y13_Z06.csv
28,9,11,6,28.00,42.7,raw_csv/CSV28_X09_Y11_Z06.csv
29,11,11,6,27.50,41.9,raw_csv/CSV29_X11_Y11_Z06.csv
30,11,13,6,30.50,46.5,raw_csv/CSV30_X11_Y13_Z06.csv
31,9,13,6,22.50,34.3,raw_csv/CSV31_X09_Y13_Z06.csv
32,10,12,7,41.25,62.9,raw_csv/CSV32_X10_Y12_Z07.csv
33,10,12,8,38.25,58.3,raw_csv/CSV33_X10_Y12_Z08.csv
