frame,pump_rpm,time_s,area_um2,area_mm2,r_eff_um,coverage
0,4,0.0,84023.13334067787,0.0840231333406778,163.54019081093384,0.8333333333333334
1,4,0.01,84525.4523329298,0.0845254523329298,164.02831192122994,0.8277777777777777
2,4,0.02,84834.59451344529,0.0848345945134452,164.32799555773448,0.8305555555555556
3,4,0.03,83526.24573193262,0.0835262457319326,163.05590995818216,0.8194444444444444
4,4,0.04,82473.26000470055,0.0824732600047005,162.0248561341821,0.825
5,4,0.05,84586.35581171063,0.0845863558117106,164.08739528412056,0.825
6,4,0.06,83943.25913063473,0.0839432591306347,163.46243990522345,0.8305555555555556
7,4,0.07,85640.24306494062,0.0856402430649406,165.10643846547418,0.8222222222222222
8,4,0.08,84060.60415470481,0.0840606041547048,163.5766527993062,0.8222222222222222
9,4,0.09,84287.37102378158,0.0842873710237815,163.79714123668597,0.8333333333333334
10,4,0.1,83398.7656740888,0.0833987656740888,162.93143223327976,0.8277777777777777
11,4,0.11,83749.47040018889,0.0837494704001888,163.2736487956243,0.825
12,4,0.12,84814.79370065646,0.0848147937006564,164.30881695623532,0.8194444444444444
13,4,0.13,83433.37026929352,0.0834333702692935,162.96523124381127,0.825
14,4,0.14,82652.39488026369,0.0826523948802636,162.20072258517982,0.8194444444444444
15,4,0.15,84297.97985676983,0.0842979798567698,163.80744907888618,0.8222222222222222
16,4,0.16,84492.22712639916,0.0844922271263991,163.99607068469388,0.8333333333333334
17,4,0.17,84395.90396863676,0.0843959039686367,163.90256430768522,0.8277777777777777
18,4,0.18,83520.01241324362,0.0835200124132436,163.04982565255435,0.8277777777777777
19,4,0.19,80993.78821546846,0.0809937882154684,160.56501333870904,0.8222222222222222
20,4,0.2,82522.6377185015,0.0825226377185015,162.07335197299523,0.8166666666666667
21,4,0.21,84708.19901229098,0.0847081990122909,164.2055333612002,0.8277777777777777
22,4,0.22,81563.25881390405,0.081563258813904,161.1284941586461,0.8333333333333334
23,4,0.23,82363.42714795031,0.0823634271479503,161.9169327808892,0.8388888888888889
24,4,0.24,81926.83705784875,0.0819268370578487,161.48721986362202,0.8277777777777777
25,4,0.25,82039.06818277767,0.0820390681827776,161.59779223703583,0.8305555555555556
26,4,0.26,84843.38459837055,0.0848433845983705,164.33650870988745,0.8305555555555556
27,4,0.27,83312.35962429635,0.0833123596242963,162.84700706403174,0.8361111111111111
28,4,0.28,84271.84292791375,0.0842718429279137,163.78205252982545,0.825
29,4,0.29,83189.39375669695,0.0831893937566969,162.7267846987482,0.8277777777777777
30,4,0.3,83646.99573414764,0.0836469957341476,163.17372855871304,0.8194444444444444
31,4,0.31,84298.65262704097,0.0842986526270409,163.8081027396396,0.8277777777777777
32,4,0.32,84018.10818001826,0.0840181081800182,163.53530032430007,0.8361111111111111
33,4,0.33,82333.15503140852,0.0823331550314085,161.8871743134707,0.8277777777777777
34,4,0.34,83206.13927931985,0.0832061392793198,162.74316183420098,0.8277777777777777
35,4,0.35,84081.03953720818,0.0840810395372081,163.59653457608306,0.8305555555555556
36,4,0.36,84497.82382540753,0.0844978238254075,164.00150208044883,0.8305555555555556
37,4,0.37,83915.9021367981,0.0839159021367981,163.43580164142224,0.825
38,4,0.38,84643.56605636074,0.0846435660563607,164.14287641439196,0.825
39,4,0.39,83737.95935053058,0.0837379593505305,163.26242773562532,0.825
